ID_UNIVERSAL,LUGAR_TRABAJO,MERCADO,PROVINCIA,REGION,ANTIGUEDAD,PROMEDIO_EVALUACION,NUM_FEEDBACKS,NUM_CURSOS,SCORE_EDUCACION,NUM_IDIOMAS,MOVILIDAD_DISPONIBLE,COMPETENCIA_GENERAL,liderazgo,comunicacion,trabajo_en_equipo,resolucion_problemas,orientacion_resultados,pensamiento_critico
1665791,Huel-Holea Carrefour,España,Huelva,Andalucía,2.42,3.3333333333333335,2.0,29.0,0.0,0.0,0.0,5.883333333333333,0.0,0.2773150658540761,0.0,0.0,0.0,0.0
1900993,Cac-Ruta De La Plata,España,Caceres,Extremadura,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1675984,Alic-Maisonnave,España,Alicante,Comunidad Valenciana,3.42,2.0,2.0,3.0,0.0,0.0,0.0,1.45,0.0,0.0,0.1378531800728439,0.4213508624664735,0.0,0.0
1276244,Sant-Jesus Monasterio,España,Cantabria,Cantabria,13.5,3.0,0.0,12.0,0.0,1.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0
1226009,Mur-Gran Via Escultor F.Salzil,España,Murcia,Murcia,13.17,4.666666666666667,0.0,50.0,0.0,1.0,0.0,9.466666666666667,0.0,0.20069100701851617,0.0,0.0,0.0,0.0
228446,Stgo-As Cancelas,España,A Coruña,Galicia,13.08,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
124725,Sal-Iglesia,España,Salamanca,Castilla Y Leon,21.33,0.0,0.0,2.0,0.0,1.0,0.0,0.4,0.0,0.4782411066728139,0.0,0.0,0.0,0.0
1288285,Ceu-Parque Ceuta,España,Ceuta,Ceuta,11.58,4.0,1.0,128.0,0.0,0.0,0.0,20.9,0.3790933691430279,0.1476705655134258,0.05135146514402708,0.0,0.0,0.0
132835,Ori-Zenia,España,Alicante,Comunidad Valenciana,19.0,0.0,0.0,28.0,0.0,1.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
1430058,Mad-Plenilunio,España,Madrid,Madrid,9.92,5.0,2.0,7.0,0.0,0.0,0.0,3.25,0.0,0.0,0.2521073643380819,0.0,0.0,0.0
138523,Mal-El Ingenio,España,Malaga,Andalucía,18.17,0.0,1.0,102.0,3.0,1.0,0.0,16.099999999999998,0.0,0.17930795420299775,0.06365909151743022,0.0,0.0,0.0
1271994,Alcor-Tres Aguas,España,Madrid,Madrid,13.83,4.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1663381,Hosp-Gran Via 2,España,Barcelona,Cataluña,2.33,4.0,0.0,8.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
1627156,Aro-Parque Santiago,España,Tenerife,Canarias,7.83,3.3333333333333335,4.0,26.0,0.0,0.0,0.0,5.633333333333333,0.20069321620654115,0.0,0.06091571720106781,0.15324363674456723,0.0,0.0
1808209,Bil-Gran Via,España,Bizkaia,País Vasco,0.33,0.0,0.0,25.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0
1287390,Ori-Zenia,España,Alicante,Comunidad Valenciana,9.17,4.0,0.0,11.0,0.0,1.0,0.0,3.35,0.0,0.20665966872532912,0.0,0.0,0.0,0.0
1693742,Mall-Porto Pi,España,Baleares,Baleares,4.92,3.75,1.0,65.0,0.0,0.0,0.0,11.35,0.0,0.1479901007299503,0.06437536753594167,0.1312742874577004,0.0,0.0
1288367,Ori-Zenia,España,Alicante,Comunidad Valenciana,10.33,4.0,2.0,26.0,0.0,1.0,0.0,5.8,0.0,0.08028214023714618,0.0,0.0,0.0,0.0
115843,Bcn-Diagonal,España,Barcelona,Cataluña,34.5,0.0,0.0,19.0,0.0,3.0,1.0,3.2,0.0,0.15050487072393046,0.0,0.0,0.0,0.0
127184,Cor-Marineda City,España,A Coruña,Galicia,20.58,4.0,1.0,181.0,0.0,1.0,0.0,28.95,0.0,0.09672760581435737,0.0,0.0,0.08079977184305698,0.0
